,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
latitude,1.0,-0.019930578391402127,0.0007912410589811174,-0.2667940393128458,-0.26678888664365175,0.017997149435411152,0.017996575702832737,0.16593399225867078,0.005611934603711585,0.005609331302659494,-0.05313017555565673,-0.05162495560553238,-0.1410398190179038,-0.08566090979744527,-0.30330406484024003,-0.3032868410394159,-0.00038202529276348303,0.00022487475142024435,-0.07328383927092155,-0.007384165577442303,-0.007357422874972698,-0.06377213417326784,0.14252530250378326,0.20596402369052735,0.04468624496359674,-0.014148244204741567,0.010613037712068691,0.035657072702493374,0.03003566695928288,-0.0005178297070976368
longitude,-0.019930578391402127,1.0,-0.0007661564343365848,0.1551816564209338,0.15518686431013595,0.045780645839936886,0.04569784236271426,0.07024327165847373,-0.11725664888229427,-0.11582350604305494,0.05912063920813799,0.05913062109889145,-0.22259143296492725,0.031653758296502126,0.15543556028134597,0.1554335407402599,0.12776390486895192,0.12724086374438281,0.0975298352533651,0.030156349336701038,0.03014774070896425,0.09790698634289648,0.044638741989498604,0.13808900559686715,0.08791025701695707,0.09336414224178921,0.04125951349522049,0.13246870181226397,0.13368609192306996,-0.00038745594448355374
last_updated_epoch,0.0007912410589811174,-0.0007661564343365848,1.0,-0.060008744564125326,-0.05999522897579811,-0.024363528437093808,-0.024423392229328267,-0.0034032511138693353,0.037921056727052385,0.03782931227621443,-0.009527036697002165,-0.009689693103306411,0.07639506335336012,-0.011541196510212001,-0.05758759686324909,-0.05759473660809404,-0.004851088937745348,-0.008125006942359911,-0.1734288707860832,-0.08124783076862593,-0.0812598722396952,0.00806726238641793,-0.04920607696115617,0.10348918029783084,0.032651096189503605,0.08010196293427271,0.04926674386159037,0.13959308960629427,0.12084408214410955,-0.01019793574756916
temperature_celsius,-0.2667940393128458,0.1551816564209338,-0.060008744564125326,1.0,0.9999966659159556,0.07592416685752115,0.07584315483579886,-0.02105672244257263,-0.3115994504420896,-0.3120830745122811,0.014518427556748204,0.014752899934192574,-0.34546686697473816,-0.1682153234751582,0.9783138674223152,0.9783097408452828,0.0559828753531408,0.05786295697260229,0.47944533758044566,0.08148464294116135,0.08151139292941266,-0.04833884571389068,0.2620925896860238,-0.1707643998898215,-0.04260590710422075,0.03389954879029361,0.11197159686819552,0.06690751664571312,0.07015445251568639,-0.006212961552150406
temperature_fahrenheit,-0.26678888664365175,0.15518686431013595,-0.05999522897579811,0.9999966659159556,1.0,0.07593876638823885,0.07585775844602448,-0.021042997659916268,-0.3115961442944327,-0.3120798647005549,0.01453502459863347,0.014768897461498237,-0.34546423599864656,-0.1681988358897041,0.9783144874837443,0.9783113316981746,0.055990200927207634,0.05786862586915131,0.47945063479741734,0.08149562746512329,0.08152242319627857,-0.048335189158152395,0.2621016740170869,-0.17075352712373754,-0.04260313860848762,0.03390697887419586,0.11197212842211686,0.06691236039772745,0.07015829415298423,-0.0062168451117553675
wind_mph,0.017997149435411152,0.045780645839936886,-0.024363528437093808,0.07592416685752115,0.07593876638823885,1.0,0.9999898640456615,0.004700391146800398,-0.06997732580434064,-0.07022483691087017,-0.0004687742891735083,-0.001332311395438,-0.06479689069391845,0.015204564133844882,0.05977930098094118,0.059802191166535026,0.06560034303642953,0.06783193841301421,0.04935823636916848,0.950063927257488,0.9500620907352263,-0.09929429391065993,0.07453112625506553,-0.10928987367681564,-0.0470220048071953,-0.03768768759416402,0.0509910186994539,-0.060336459565462054,-0.050219336587400853,0.005246244724198946
wind_kph,0.017996575702832737,0.04569784236271426,-0.024423392229328267,0.07584315483579886,0.07585775844602448,0.9999898640456615,1.0,0.004695809214800622,-0.06994280469051233,-0.0701898749848416,-0.00048358470622187385,-0.001347542896186645,-0.06475606796278528,0.015230825945587776,0.0597136353202235,0.05973646318986276,0.06553861123266941,0.0677769628383617,0.0493006029014707,0.9501037777677224,0.9501025408175177,-0.09928140876910838,0.07450577635143647,-0.10927561553693638,-0.04700367555144308,-0.03770651260508305,0.0509431740825856,-0.06036194819965763,-0.05023886614641316,0.005242141258027022
wind_degree,0.16593399225867078,0.07024327165847373,-0.0034032511138693353,-0.02105672244257263,-0.021042997659916268,0.004700391146800398,0.004695809214800622,1.0,-0.05482226446644342,-0.054561973082850754,0.011295143089067636,0.011701556513582763,-0.04866214183615708,0.004917845376037282,-0.028994326686053586,-0.028978279633536976,-0.06977986451601656,-0.07146384817268114,0.04826066469315323,-0.0033478397901620907,-0.003343521251504119,0.019234975771673775,0.07165598597117274,0.07079522111360818,0.04431396529961378,0.012627156182829708,0.0010468661312595575,0.030746448941919247,0.03036466033400036,-0.012494321386409194
pressure_mb,0.005611934603711585,-0.11725664888229427,0.037921056727052385,-0.3115994504420896,-0.3115961442944327,-0.06997732580434064,-0.06994280469051233,-0.05482226446644342,1.0,0.9998385361607374,-0.0698479566108504,-0.06908407694291122,0.02124337161843597,-0.03683896894678391,-0.3114731838475692,-0.3114754675051143,-0.00392610100294051,-0.0018276284089969888,-0.06969122274923309,-0.09768251555131294,-0.09768406562543719,0.009323978391145122,-0.11272715836426347,0.050157907011025786,0.017496150776169103,-0.004744915502253418,-0.027884693922712797,-0.0008089099386162235,-0.008423024493430263,0.008786141809224643
pressure_in,0.005609331302659494,-0.11582350604305494,0.03782931227621443,-0.3120830745122811,-0.3120798647005549,-0.07022483691087017,-0.0701898749848416,-0.054561973082850754,0.9998385361607374,1.0,-0.06968960890443764,-0.0689237596670868,0.020724648505898818,-0.036776077806021414,-0.3119484199842362,-0.31195065647029147,-0.004685216915540173,-0.0024947313666248915,-0.06962430715702443,-0.09805415158012608,-0.09805538607149697,0.01008180554931449,-0.1128080679906743,0.0511881447147634,0.017884298435285984,-0.004346721211914993,-0.02785598067675803,-0.0003192481335779639,-0.007918888198150294,0.008706823310202921
precip_mm,-0.05313017555565673,0.05912063920813799,-0.009527036697002165,0.014518427556748204,0.01453502459863347,-0.0004687742891735083,-0.00048358470622187385,0.011295143089067636,-0.0698479566108504,-0.06968960890443764,1.0,0.9981681678003178,0.18584416992712582,0.217702116815715,0.04675563359457723,0.046752427607879024,-0.049500900570914504,-0.06042075431854774,-0.08003727931928496,0.04036345079196616,0.04034833124252067,0.011887775305728236,-0.07794753239107619,-0.026573830530670202,-0.021097613738708203,-0.04877680921412895,-0.0427385139640047,-0.0705797467671275,-0.06534955382399618,0.004087740865000974
precip_in,-0.05162495560553238,0.05913062109889145,-0.009689693103306411,0.014752899934192574,0.014768897461498237,-0.001332311395438,-0.001347542896186645,0.011701556513582763,-0.06908407694291122,-0.0689237596670868,0.9981681678003178,1.0,0.1811092559054394,0.21090364224146246,0.046253382283146696,0.04625072298456928,-0.04978685686028764,-0.06077232428099051,-0.0775025657322326,0.0391014992126362,0.039085815227254316,0.01270240538783247,-0.07573670499129864,-0.024771722204691735,-0.019578886189413836,-0.04688584914421859,-0.041310095804446605,-0.06799165964992217,-0.0627480425556536,0.0038289536569384493
humidity,-0.1410398190179038,-0.22259143296492725,0.07639506335336012,-0.34546686697473816,-0.34546423599864656,-0.06479689069391845,-0.06475606796278528,-0.04866214183615708,0.02124337161843597,0.020724648505898818,0.18584416992712582,0.1811092559054394,1.0,0.5390212822119447,-0.2260216037181413,-0.2259896034395846,-0.06975552565848388,-0.08782039389660459,-0.5662587002029918,0.005665545441512968,0.005623011820542616,-0.022651557173542673,-0.43772472650695615,-0.0716146150661398,-0.09292517536704771,-0.18126462683830286,-0.2278698712828972,-0.24201944105475323,-0.23882648318265806,-0.0010784592957569245
cloud,-0.08566090979744527,0.031653758296502126,-0.011541196510212001,-0.1682153234751582,-0.1681988358897041,0.015204564133844882,0.015230825945587776,0.004917845376037282,-0.03683896894678391,-0.036776077806021414,0.217702116815715,0.21090364224146246,0.5390212822119447,1.0,-0.10203203178934607,-0.10199130220686695,-0.04413560093950069,-0.061354893364160654,-0.25354328416474053,0.05005385630469465,0.05003626597135866,-0.048427520077684014,-0.2510950318154801,-0.10238394319731473,-0.08290455712698015,-0.17263702493696578,-0.15430361273992477,-0.22570371613467585,-0.22091728782934772,0.004014133167341029
feels_like_celsius,-0.30330406484024003,0.15543556028134597,-0.05758759686324909,0.9783138674223152,0.9783144874837443,0.05977930098094118,0.0597136353202235,-0.028994326686053586,-0.3114731838475692,-0.3119484199842362,0.04675563359457723,0.046253382283146696,-0.2260216037181413,-0.10203203178934607,1.0,0.999995251821335,0.06748939383224711,0.06803055680865004,0.40789505491693945,0.07677934052580274,0.07680191321644296,-0.034212525866473435,0.18931213363124352,-0.1689658375046002,-0.04601062348951318,0.017628694065591945,0.08144663325399185,0.044879542360110346,0.04835798360768068,-0.005064185961598278
feels_like_fahrenheit,-0.3032868410394159,0.1554335407402599,-0.05759473660809404,0.9783097408452828,0.9783113316981746,0.059802191166535026,0.05973646318986276,-0.028978279633536976,-0.3114754675051143,-0.31195065647029147,0.046752427607879024,0.04625072298456928,-0.2259896034395846,-0.10199130220686695,0.999995251821335,1.0,0.0675123548294422,0.06805598976147888,0.4078797956315097,0.07680696193162667,0.07682955845360555,-0.0342129586252609,0.18930778475529597,-0.1689720316276346,-0.04603164042563371,0.017617064893608432,0.08145031043205483,0.04485415266559497,0.04833028273897186,-0.005056502587443366
visibility_km,-0.00038202529276348303,0.12776390486895192,-0.004851088937745348,0.0559828753531408,0.055990200927207634,0.06560034303642953,0.06553861123266941,-0.06977986451601656,-0.00392610100294051,-0.004685216915540173,-0.049500900570914504,-0.04978685686028764,-0.06975552565848388,-0.04413560093950069,0.06748939383224711,0.0675123548294422,1.0,0.9920502573564833,-0.009594318226284827,0.09006596834691313,0.09005263485745664,-0.08923251627024893,-0.0305734600012737,-0.07970717819164758,-0.047458696046096704,-0.12258186846648732,-0.05909197507145017,-0.13668750974938224,-0.13375952208572017,-0.00046275875366443204
visibility_miles,0.00022487475142024435,0.12724086374438281,-0.008125006942359911,0.05786295697260229,0.05786862586915131,0.06783193841301421,0.0677769628383617,-0.07146384817268114,-0.0018276284089969888,-0.0024947313666248915,-0.06042075431854774,-0.06077232428099051,-0.08782039389660459,-0.061354893364160654,0.06803055680865004,0.06805598976147888,0.9920502573564833,1.0,-0.0004393059294379704,0.08978405441014559,0.08977092905427393,-0.09742968044930445,-0.02559219729300164,-0.08488111510121768,-0.05123885448735312,-0.13275445137593037,-0.06362699255116783,-0.14829701071619508,-0.14632103205674746,-0.0013165115396867786
uv_index,-0.07328383927092155,0.0975298352533651,-0.1734288707860832,0.47944533758044566,0.47945063479741734,0.04935823636916848,0.0493006029014707,0.04826066469315323,-0.06969122274923309,-0.06962430715702443,-0.08003727931928496,-0.0775025657322326,-0.5662587002029918,-0.25354328416474053,0.40789505491693945,0.4078797956315097,-0.009594318226284827,-0.0004393059294379704,1.0,-0.009860869327595547,-0.009824423394171559,-0.09062257501035394,0.33031615560567945,-0.13988949965140351,-0.025782972710460397,0.015195317580359854,0.10817603966571405,0.03595914708137761,0.026246879889001744,-0.0025556527801017383
gust_mph,-0.007384165577442303,0.030156349336701038,-0.08124783076862593,0.08148464294116135,0.08149562746512329,0.950063927257488,0.9501037777677224,-0.0033478397901620907,-0.09768251555131294,-0.09805415158012608,0.04036345079196616,0.0391014992126362,0.005665545441512968,0.05005385630469465,0.07677934052580274,0.07680696193162667,0.09006596834691313,0.08978405441014559,-0.009860869327595547,1.0,0.9999930337970335,-0.11764089644388036,0.058591706501766656,-0.14046393116553155,-0.06409898650146821,-0.05664283644271564,0.04462383955874577,-0.09305189700524816,-0.07664998983649954,0.0038710979097012184
gust_kph,-0.007357422874972698,0.03014774070896425,-0.0812598722396952,0.08151139292941266,0.08152242319627857,0.9500620907352263,0.9501025408175177,-0.003343521251504119,-0.09768406562543719,-0.09805538607149697,0.04034833124252067,0.039085815227254316,0.005623011820542616,0.05003626597135866,0.07680191321644296,0.07682955845360555,0.09005263485745664,0.08977092905427393,-0.009824423394171559,0.9999930337970335,1.0,-0.11763879730314919,0.05860858241637203,-0.14046631357533107,-0.06410817409781225,-0.05664241282851128,0.044628641893109035,-0.09305196157157446,-0.07665279612842148,0.003875408772788548
air_quality_Carbon_Monoxide,-0.06377213417326784,0.09790698634289648,0.00806726238641793,-0.04833884571389068,-0.048335189158152395,-0.09929429391065993,-0.09928140876910838,0.019234975771673775,0.009323978391145122,0.01008180554931449,0.011887775305728236,0.01270240538783247,-0.022651557173542673,-0.048427520077684014,-0.034212525866473435,-0.0342129586252609,-0.08923251627024893,-0.09742968044930445,-0.09062257501035394,-0.11764089644388036,-0.11763879730314919,1.0,-0.11068787633129748,0.6046826127340222,0.31673255064045464,0.6149390515089393,0.16487834374149085,0.46875003212636224,0.43915665006231963,-0.0015606524435936707
air_quality_Ozone,0.14252530250378326,0.044638741989498604,-0.04920607696115617,0.2620925896860238,0.2621016740170869,0.07453112625506553,0.07450577635143647,0.07165598597117274,-0.11272715836426347,-0.1128080679906743,-0.07794753239107619,-0.07573670499129864,-0.43772472650695615,-0.2510950318154801,0.18931213363124352,0.18930778475529597,-0.0305734600012737,-0.02559219729300164,0.33031615560567945,0.058591706501766656,0.05860858241637203,-0.11068787633129748,1.0,-0.22306542357614595,-0.02647200570663745,0.044905031131813045,0.08466269945948361,0.11061593690440151,0.11317138952490885,0.0126908796944946
air_quality_Nitrogen_dioxide,0.20596402369052735,0.13808900559686715,0.10348918029783084,-0.1707643998898215,-0.17075352712373754,-0.10928987367681564,-0.10927561553693638,0.07079522111360818,0.050157907011025786,0.0511881447147634,-0.026573830530670202,-0.024771722204691735,-0.0716146150661398,-0.10238394319731473,-0.1689658375046002,-0.1689720316276346,-0.07970717819164758,-0.08488111510121768,-0.13988949965140351,-0.14046393116553155,-0.14046631357533107,0.6046826127340222,-0.22306542357614595,1.0,0.42881274284308823,0.5198700680965477,0.18855218312652447,0.5593005787513152,0.5554899351823428,-0.0020319342791843345
air_quality_Sulphur_dioxide,0.04468624496359674,0.08791025701695707,0.032651096189503605,-0.04260590710422075,-0.04260313860848762,-0.0470220048071953,-0.04700367555144308,0.04431396529961378,0.017496150776169103,0.017884298435285984,-0.021097613738708203,-0.019578886189413836,-0.09292517536704771,-0.08290455712698015,-0.04601062348951318,-0.04603164042563371,-0.047458696046096704,-0.05123885448735312,-0.025782972710460397,-0.06409898650146821,-0.06410817409781225,0.31673255064045464,-0.02647200570663745,0.42881274284308823,1.0,0.3089607958259782,0.13480765779592915,0.3290350042255461,0.32900500348901496,-0.0004901956636163236
air_quality_PM2.5,-0.014148244204741567,0.09336414224178921,0.08010196293427271,0.03389954879029361,0.03390697887419586,-0.03768768759416402,-0.03770651260508305,0.012627156182829708,-0.004744915502253418,-0.004346721211914993,-0.04877680921412895,-0.04688584914421859,-0.18126462683830286,-0.17263702493696578,0.017628694065591945,0.017617064893608432,-0.12258186846648732,-0.13275445137593037,0.015195317580359854,-0.05664283644271564,-0.05664241282851128,0.6149390515089393,0.044905031131813045,0.5198700680965477,0.3089607958259782,1.0,0.6451977666994984,0.7973179868183531,0.7604292817353393,-0.0009220720345381608
air_quality_PM10,0.010613037712068691,0.04125951349522049,0.04926674386159037,0.11197159686819552,0.11197212842211686,0.0509910186994539,0.0509431740825856,0.0010468661312595575,-0.027884693922712797,-0.02785598067675803,-0.0427385139640047,-0.041310095804446605,-0.2278698712828972,-0.15430361273992477,0.08144663325399185,0.08145031043205483,-0.05909197507145017,-0.06362699255116783,0.10817603966571405,0.04462383955874577,0.044628641893109035,0.16487834374149085,0.08466269945948361,0.18855218312652447,0.13480765779592915,0.6451977666994984,1.0,0.5140419066689732,0.4811721286862592,-0.00018075546282638995
air_quality_us-epa-index,0.035657072702493374,0.13246870181226397,0.13959308960629427,0.06690751664571312,0.06691236039772745,-0.060336459565462054,-0.06036194819965763,0.030746448941919247,-0.0008089099386162235,-0.0003192481335779639,-0.0705797467671275,-0.06799165964992217,-0.24201944105475323,-0.22570371613467585,0.044879542360110346,0.04485415266559497,-0.13668750974938224,-0.14829701071619508,0.03595914708137761,-0.09305189700524816,-0.09305196157157446,0.46875003212636224,0.11061593690440151,0.5593005787513152,0.3290350042255461,0.7973179868183531,0.5140419066689732,1.0,0.9351357604882119,0.003121068251606585
air_quality_gb-defra-index,0.03003566695928288,0.13368609192306996,0.12084408214410955,0.07015445251568639,0.07015829415298423,-0.050219336587400853,-0.05023886614641316,0.03036466033400036,-0.008423024493430263,-0.007918888198150294,-0.06534955382399618,-0.0627480425556536,-0.23882648318265806,-0.22091728782934772,0.04835798360768068,0.04833028273897186,-0.13375952208572017,-0.14632103205674746,0.026246879889001744,-0.07664998983649954,-0.07665279612842148,0.43915665006231963,0.11317138952490885,0.5554899351823428,0.32900500348901496,0.7604292817353393,0.4811721286862592,0.9351357604882119,1.0,0.0008024961040954794
moon_illumination,-0.0005178297070976368,-0.00038745594448355374,-0.01019793574756916,-0.006212961552150406,-0.0062168451117553675,0.005246244724198946,0.005242141258027022,-0.012494321386409194,0.008786141809224643,0.008706823310202921,0.004087740865000974,0.0038289536569384493,-0.0010784592957569245,0.004014133167341029,-0.005064185961598278,-0.005056502587443366,-0.00046275875366443204,-0.0013165115396867786,-0.0025556527801017383,0.0038710979097012184,0.003875408772788548,-0.0015606524435936707,0.0126908796944946,-0.0020319342791843345,-0.0004901956636163236,-0.0009220720345381608,-0.00018075546282638995,0.003121068251606585,0.0008024961040954794,1.0
